gene name,chromosome,start,end
RNU6-1020P,9,125303920,125304026
RNU6-111P,2,73298683,73298787
RN7SL706P,14,68149617,68149908
RNU6-117P,6,106738948,106739054
RF02192,14,95662480,95662598
RNA5SP53,1,93488333,93488452
MIR135B,1,205448302,205448398
SNORD97,11,10801467,10801608
SNORD58C,18,49489245,49489308
RNA5SP232,7,71913738,71913856
RNU6-547P,3,172703124,172703225
MIR4744,18,49049687,49049768
MIR200A,1,1167863,1167952
MIR548M,23,95063141,95063226
SNORD63,5,138561043,138561110
RNU6-1087P,23,35594173,35594273
MIR424,23,134546614,134546711
MIR377,14,101062050,101062118
RN7SL147P,3,11952788,11953085
RN7SKP164,2,76595413,76595678
MIR526A2,19,53726922,53726986
RNU7-196P,5,73828012,73828073
MIR638,19,10718404,10718503
MIR4315-1,17,45475363,45475435
MIR6503,11,60209071,60209156
RNU6-1232P,5,68159061,68159146
RN7SL515P,13,41807677,41807973
MIR631,15,75353611,75353685
MIR4421,1,51059837,51059905
RN7SL316P,17,30702504,30702775
RNU6-491P,12,14250232,14250341
RNA5SP351,11,111928400,111928508
RF00090,17,15574019,15574198
RNU6ATAC28P,14,83750384,83750501
MIR548G,4,147344629,147344717
MIR6794,19,12852260,12852327
RN7SL270P,17,47041825,47042105
MIR378J,17,37614931,37615039
MIR6776,17,2692861,2692919
MIR6746,11,61878216,61878278
RNA5SP456,18,48475487,48475600
RNU4-71P,8,23600026,23600138
RNY1P8,13,73227147,73227260
RF00191,5,172252334,172252478
RNU6-511P,3,93977029,93977135
AL357146.1,6,139976352,140093721
AC069503.2,12,121888809,121921470
AC103591.2,1,78043383,78044148
FILNC1,6,139677639,139860476
AL353807.3,1,155614726,155660245
AC009518.2,7,131892616,131893615
NDUFB9P2,7,131753746,131754252
AC093106.2,7,131702269,131702653
EEF1B2P6,7,131661952,131662624
RNF34,12,121400041,121430623
AC092127.1,16,85592266,85595720
KDM2B,12,121429097,121581015
UBE4B,1,10032832,10181239
BEGAIN,14,100537147,100587413
CCRL1P1,6,138822747,138823799
AL121834.1,6,138878899,138879407
RBP7,1,9997206,10016020
AC124283.4,17,82576616,82577391
AC092813.2,1,76041691,76066228
ST6GALNAC3,1,76074719,76634601
AC007406.2,12,253442,257299
SLC50A1,1,155135344,155138857
NXF3,23,103075810,103093125
NMNAT1,1,9943428,9985501
AC026620.1,17,32280387,32280953
LLCFC1,7,142939343,142940868
MREG,2,215942805,216034096
NRAV,12,120490328,120495940
AC010731.2,2,206606497,206609812
AC092155.2,2,62532583,62533059
BEX1,23,103062651,103064240
KLF14,7,130731235,130734176
AP001007.1,11,125258626,125266798
AC098483.1,1,248548756,248563839
AC012462.3,2,215436253,215436992
OR2G6,1,248508073,248527337
OR2AS2P,1,248498308,248498649
OR2L13,1,248095184,248101103
Z83820.1,23,84973217,84977829
AC008417.1,5,109840128,109840692
CPSF2,14,92121937,92172145
AC025280.3,16,84817182,84856665
AC025280.2,16,84917377,84924808
SIRT4,12,120302316,120313249
DCST2,1,155018520,155033781
CRISPLD2,16,84819984,84920768
ZBTB7B,1,155002630,155018522
AC127070.1,12,132887842,132888583
RPS11P5,12,132825701,132826184
NLRP3,1,247416156,247449108
AL390728.2,1,247183813,247185482
ZNF695,1,246945547,247008093
AC012603.1,5,109687802,109688329
TERF1P4,23,83748825,83749939
EVL,14,99971449,100144236
AC135586.1,12,132745156,132745729
OCLM,1,186400572,186401455
AL591623.2,1,246632251,246632478
TFB2M,1,246540560,246566324
IQSEC3,12,66765,178460
IZUMO2,19,50152548,50163195
DDX11L8,12,12310,13501
TRBV10-3,7,142544212,142544685
FBLIM1,1,15756607,15786594
AC010616.2,19,41956879,41994232
AL451007.1,1,244694432,244694720
DESI2,1,244652935,244709033
NECAP1,12,8076939,8097859
AL450304.1,1,182955390,182956148
TRBV7-9,7,142529290,142529762
TRBV5-2,7,142372640,142372912
TRBV8-1,7,142358639,142358917
HMGB1P22,5,125265528,125265651
AL359764.1,1,241424292,241433492
PSMC1P5,5,107195156,107195332
LINC01950,5,106815197,107011014
AL603910.1,6,73492025,73492742
LINC00910,17,43369845,43389199
RFKP1,1,240823006,240823433
FAM161B,14,73931501,73950414
AC084361.1,12,119031039,119116961
SRRM4,12,118981495,119163051
AL358393.1,1,181190471,181191149
AC087863.1,12,118849354,118908930
AL356361.1,1,239972787,239974245
AL356010.2,1,238276037,238287016
AL356010.1,1,238268494,238268595
UBE2Q1,1,154548577,154559028
AC062039.1,2,192629919,192645706
LRRC53,1,74469878,74512614
OR13C3,9,104535749,104536856
AC073862.4,12,130962175,130963028
AL512329.2,6,1528364,1528911
AL512329.1,6,1513698,1515289
PDE7B,6,135851696,136195574
AL138828.1,6,135991936,136225751
AC024257.5,12,48327942,48328472
VEPH1,3,157259742,157533619
PIK3CD-AS1,1,9652610,9654586
LINC01494,2,218900811,218930636
AC040978.1,8,140039756,140041037
ABCC10,6,43427366,43450430
AL512326.1,1,179220938,179222125
CLSTN1,1,9729026,9824526
AL356481.2,9,128595893,128596633
AC004492.1,7,107192559,107193300
TRAC,14,22547506,22552154
AL139161.2,1,235942553,235943805
AL139161.1,1,235957879,235971825
AC006146.1,14,73698103,73700351
AC097484.2,4,88220569,88223837
MAMDC4,9,136850943,136860799
AC079781.3,7,97938439,97938794
RPS3AP29,7,97898347,97899115
AC130895.1,12,116174502,116181295
EEF1GP6,6,96750824,96751728
AC018690.1,2,99405218,99405843
CEACAM21,19,41549518,41586844
AC243960.2,19,41506152,41506898
C5orf30,5,103258702,103278660
NAV3,12,77324641,78213008
AC010327.5,19,55227219,55230279
AC138331.1,12,77775783,77783576
ZFYVE26,14,67727374,67816590
AC061709.1,12,128187934,128191389
TNFAIP8L1,19,4639518,4655568
LINC00507,12,127915372,127951552
AC010327.4,19,55216660,55221616
TRAJ38,14,22502231,22502292
MYDGF,19,4641374,4670370
AL672043.1,1,46175486,46176478
AL358075.4,1,46043661,46176488
LINC02411,12,127631248,127636467
RASAL2-AS1,1,178091508,178093984
TRAJ42,14,22496887,22496952
RPS3P7,16,78825281,78826006
ZNF252P,8,144973589,145002895
AC009145.3,16,79077376,79078234
AL663023.1,1,159466321,159483376
OR10J4,1,159432204,159433138
AC009145.2,16,79105957,79110882
LSM3P5,16,78355529,78355834
AC010149.2,2,230584815,230586715
OR10J3,1,159313670,159314659
AC025252.1,12,127598168,127599715
AHCYL1,1,109984686,110023741
LRTM1,3,54918237,54967088
TRAJ52,14,22486228,22486296
AC079949.2,12,127147149,127150081
UBA52P7,12,115592604,115592983
AC009803.1,12,115582061,115639734
AC012313.6,19,58362585,58366591
AC009803.2,12,115569664,115581739
AC009803.3,12,115576676,115577615
AC012313.2,19,58357999,58359603
AL163932.1,14,98068240,98205143
AL122008.1,1,234261706,234274465
TRAJ61,14,22475316,22475375
CGAS,6,73413515,73452276
AL583834.1,6,43328134,43328476
FAM214B,9,35104112,35116341
RIOX1,14,73490964,73493392
AC005225.1,14,73517233,73520648
RPL23AP10,14,96456576,96457041
OR10K1,1,158461574,158470857
FAM220A,7,6329409,6348981
AL603882.1,1,45781277,45781957
AC079117.1,2,76985965,77009791
AL355102.3,14,96275046,96276723
AL355102.4,14,96259411,96268624
AC019205.1,6,73263215,73301401
NDNF,4,121035613,121073021
TRPV4,12,109783085,109833401
AL928921.1,1,9501092,9503471
ZSCAN1,19,58034032,58054631
AL354702.1,1,38708931,38710890
AL513479.1,1,38383838,38384422
LINC01343,1,38209034,38214806
AKT1S1,19,49869033,49878459
AL009178.1,6,167767083,167768568
ACOT7,1,6264269,6394391
RPS6P25,19,12894133,12894880
AP000857.2,11,84936689,84955705
AP000852.1,11,84639993,84640565
AC007536.1,12,7896608,7896956
PLXNB2,22,50274979,50307627
AC073592.1,12,124513222,124514813
PARP6,15,72241181,72272999
AC073916.1,12,124383381,124383510
TMEM141,9,136791355,136793257
PNKP,19,49859882,49878351
AL139317.2,14,52798904,52799061
AL139317.1,14,52792875,52820034
AC073592.7,12,124529722,124530228
AC073592.5,12,124555905,124556432
BACH2,6,89926529,90296908
SIGLEC11,19,49948985,49961172
AC114550.1,8,8561391,8569688
SNX31,8,100572882,100663415
AL138899.1,1,158197922,158203877
AP003174.1,11,115582297,115600339
LINC01481,12,69904033,70243360
VAT1L,16,77788530,77980107
TRAV23DV6,14,22086407,22086961
AC099518.2,16,19065991,19066694
TSPAN17,5,176647387,176659054
RPL23AP34,2,28308161,28308570
AL109810.1,1,231117831,231118325
ZNF283,19,43827292,43852017
AC068790.3,12,123966077,123966629
AC009951.2,2,144444848,144450450
AL445670.1,9,97151894,97152694
AC139769.2,19,23817599,23874701
AC068790.7,12,123960717,123961244
ERICH4,19,41443158,41444765
AC068790.9,12,124085761,124088598
VN1R51P,9,97093694,97094638
GAS2L1P2,9,97075671,97081945
Z98751.1,1,171751543,171752025
ZNF681,19,23739195,23758891
KRTAP8-3P,21,30806932,30807119
AC117503.2,12,123655528,123656128
BTNL10,1,228510425,228512305
AC105233.3,8,8086022,8086765
LINC01681,1,170174403,170241287
SIGLEC30P,1,170115636,170116576
KRTAP20-3,21,30642864,30643136
GPR157,1,9100305,9129170
SLC25A5P5,7,32471513,32472409
AC243972.2,14,21585290,21586280
GNG12,1,67701466,67833467
WLS,1,68098473,68233120
BRI3P1,1,100213293,100213670
CSGALNACT2,10,43138486,43185308
HNRNPCP9,1,67660155,67661013
TCL1B,14,95686417,95692643
AL929472.2,1,37860697,37861580
DEFB131C,8,12043506,12043670
OR10AE3P,12,55646195,55646663
AC087721.2,15,41284013,41380743
OIP5-AS1,15,41283990,41309737
HDAC2-AS2,6,113969701,114471705
AC090099.3,11,18153277,18154255
AP001533.1,11,101208905,101209450
QRFP,9,130892702,130896812
AL359741.1,13,28778224,28778448
LINC01447,7,47621939,47629893
AC004692.2,7,43239066,43249268
PKD1P5,16,18374521,18401940
GATAD2A,19,19385826,19508931
MTND4P24,23,126472885,126473281
AC010980.2,2,222317242,222318653
AL132994.1,14,38835389,38835788
ZNF836,19,52153864,52171643
AC092821.3,12,9448295,9658392
AC114755.1,2,106344566,106345433
RRN3P1,16,21796106,21820410
RASSF8-AS1,12,25939329,25959765
AL596218.1,1,207240122,207309292
C4BPAP1,1,207165496,207183910
AC027228.1,15,78480057,78481820
MCOLN3,1,85018082,85048499
AL117692.1,14,50052857,50053569
AC006971.1,7,54933699,54938184
CCDC32,15,40528683,40565057
GMNC,3,190852877,190892429
AC012370.1,2,65373700,65380685
EIF3KP3,4,116043407,116044045
AC048382.5,15,84597809,84633987
TTC39CP1,4,116193997,116194751
AL359915.2,1,119140396,119275973
AL139420.1,1,119000344,119001392
DTD2,14,31446036,31457510
TUBB,6,30720201,30725426
IGKV2OR2-10,2,97331533,97331843
AC011270.1,15,78382573,78383155
BAHCC1,17,81395475,81466332
VDAC2P3,1,117640812,117641639
ZNF774,15,90352245,90369146
FAM138B,2,113577382,113578852
AC107958.3,15,91532891,91535095
FGFR1OP2P1,13,26905362,26905861
Z70280.1,23,101191115,101191409
AL031777.1,6,26202156,26202654
AC108025.2,2,5696220,5708095
AL163952.1,14,55896547,55962970
DDX28,16,68021274,68023442
LRRFIP1P1,3,179259028,179261273
SLED1,4,184798296,184799046
AL731569.1,10,86521945,86525101
PCDHGA10,5,141412987,141512979
AC118755.1,17,9647020,9647660
AC092140.2,16,56465642,56466162
GGT2,22,21207973,21227637
SLC45A3,1,205657851,205680459
AL080276.1,6,152959359,152959605
AC245052.1,19,54199454,54199971
AL160191.1,14,70187123,70230187
KIF16B,20,16272104,16573434
PCDHGB2,5,141360042,141512979
EPB41L5,2,120013005,120179119
AC010519.1,19,47607524,47733098
FTX,23,73946555,74293574
AL451070.1,1,31333067,31346799
AC090312.2,18,71665148,71665525
LINC01501,9,90463524,90582744
AC087501.2,17,9464742,9467422
AL137918.1,14,61801713,61803634
AC020978.4,16,68236845,68237667
AC020978.6,16,68199795,68200981
AC068775.1,12,10412312,10436001
AC099521.2,16,68367325,68370262
CAMKK1,17,3860315,3894891
AC048344.2,12,32072734,32072880
AC135050.1,16,31056460,31062803
CCM2,7,44999475,45076469
AL356432.1,6,127654860,127655278
AL592291.1,6,127632958,127635321
C6orf58,6,127519455,127591817
AC092299.1,19,197310,198066
AC010507.2,19,200499,201174
AC010247.2,19,42152569,42157523
AC007595.1,16,10691273,10692973
RNF157,17,76142453,76240373
ATP5MGP6,17,76202644,76202796
FAM229B,6,112087599,112102790
GTSCR1,18,70630534,70650744
AC091305.1,18,70489630,70491205
E2F6P2,22,21141624,21142371
CNTD2,19,40222208,40226697
AL713998.1,6,67887646,67889339
ZBTB8OS,1,32600172,32650903
AC018475.1,12,95467397,95467861
AL033529.1,1,32465057,32600792
AC011233.1,2,221162771,221163053
KNSTRN,15,40382721,40394246
AC026391.1,10,59578467,59650345
AC005000.1,23,115718942,115719229
AL096869.2,14,90642638,90648894
AL139193.1,14,90675118,90676294
PLSCR5,3,146576555,146606216
HIF1A-AS1,14,61681041,61695823
AC068733.1,11,6362799,6365267
AC022144.1,19,38738284,38739863
AC002472.4,22,21071082,21081018
HAPLN4,19,19255641,19262796
LINC02086,17,48646923,48707346
AD001527.2,19,36114362,36115146
AC009296.1,7,50843578,50843732
AL606489.2,1,204394541,204394774
RPS16P9,19,45332698,45333124
MXRA5,23,3308565,3346641
AL592114.1,1,204346776,204347258
KDELC2,11,108472105,108498432
GABRG3-AS1,15,27157615,27161319
OR4C45,11,50032874,50033794
AC144833.1,15,27362310,27366398
HIGD1AP17,14,30964347,30964622
IGKV3D-31,2,89929701,89930202
PHBP8,3,119791829,119792553
ABTB2,11,34150988,34358008
AL033539.1,6,22589137,22593833
MEIS3,19,47403124,47419523
AC008456.1,5,160613873,160639183
GAPDHP55,15,44063511,44064313
SSR4P1,21,45070952,45074165
NF1P2,15,21927657,21946641
SPATS2L,2,200305881,200482263
AL031731.1,1,11623558,11643416
CD300C,17,74541108,74546143
MIR663AHG,20,26186920,26251526
RPL10P2,6,27211244,27211913
AL512356.2,14,105112690,105112863
AP001554.1,11,117668483,117668858
IGKV2D-36,2,89887022,89887247
AL591767.1,14,49707667,49708792
FAM182A,20,26054655,26086917
AC008641.1,5,151158106,151158462
LINC01353,1,203287152,203288801
HMGB3P9,1,92647048,92647630
IGKV2D-38,2,89872463,89872702
AL031432.3,1,25247837,25248321
AC008906.2,5,96804353,96806105
CDCA7L,7,21900900,21946084
AC099509.1,5,96213346,96215075
NEURL4,17,7315628,7329393
AL049745.1,1,53841547,53841832
AC006453.1,2,89622213,89640635
AC009517.1,7,137164043,137164612
AC006453.4,2,89533185,89547106
IGKV2-40,2,89330110,89330429
AL355432.1,9,27102630,27104728
SP7,12,53326575,53345315
SEMA4D,9,89360787,89498130
AL928711.1,1,25336429,25337465
AP000757.2,11,117818443,117821992
AC068298.1,3,180589887,180590047
AC013439.1,2,189486480,189487992
LINC02053,3,180414174,180422506
AL096869.3,14,90489010,90491637
RNF146,6,127266610,127288567
MTPN,7,135926761,135977353
AC068831.5,15,91031246,91031691
TMCC3,12,94567124,94650562
AL355075.4,14,20343048,20343685
RSPO3,6,127118604,127197765
AL355075.1,14,20344233,20346888
AC068831.7,15,90966190,91022566
DRAP1,11,65919257,65921561
KANK3,19,8322584,8343262
LINC00642,14,90455230,90458905
WDR20,14,102139503,102224847
AC244255.1,2,89203509,89203906
FAM83E,19,48600810,48614854
FAM133CP,10,58715554,58716257
AL031587.5,22,37943050,37944898
LINC01554,5,95852232,95860133
GPR50,23,151176653,151181465
AC183088.1,15,21542990,21544008
SHARPIN,8,144098633,144108124
RPL31P20,3,24430748,24431107
TNFRSF12A,16,3018445,3022383
AC012464.2,12,93836167,93838038
HMGB1P10,22,26560526,26561088
SOCS2-AS1,12,93542463,93571768
AC011999.1,2,135897955,135898978
PIP4K2C,12,57591174,57603418
AL359504.2,1,84076331,84077931
AC104454.1,1,84015865,84018371
RPS4XP12,11,121250270,121250978
ATP5F1EP2,13,27945260,27945415
AL365203.2,10,32887255,32889311
AC141002.1,3,48672455,48672733
AC010857.1,8,40519565,40520158
SLC34A2,4,25648011,25678748
CXADRP2,15,21372793,21373881
MAFG-DT,17,81927829,81930753
INPP5J,22,31122731,31134696
LINC02330,14,87634379,87655294
PRPF4B,6,4021267,4064983
LBHD1,11,62662817,62672255
PCYT1B,23,24558087,24672677
AC012557.2,3,64019508,64019925
HIVEP3,1,41506365,42035925
AC119676.1,1,41585306,41628816
AL445933.1,1,41542069,41544310
AC097515.1,4,16400430,16512187
AP4B1,1,113894748,113905201
GAPDHP46,1,92114803,92115796
AC093151.1,1,41264550,41264862
KRTAP2-4,17,41065116,41065879
KYNUP2,17,19082437,19084834
Z68323.1,22,34208141,34209262
LINC01643,22,34017473,34188425
AC007952.3,17,19077775,19087878
CAAP1,9,26840685,26892804
AC087284.1,15,90024955,90026003
AC106869.1,2,47192405,47345074
AC027176.1,15,89936492,89937005
UBE2CP1,14,30683045,30683598
AL049830.2,14,30819714,30819914
AC116099.1,1,83397568,83425353
DMRT2,9,1049858,1057552
AL049844.1,6,143807092,143844617
AC011731.1,18,23257164,23260354
MIR762HG,16,30875222,30895220
AL713923.1,23,145232929,145233619
SSU72P1,23,114390674,114391256
PCSK9,1,55039548,55064852
AC068112.1,18,68102116,68114377
AC003688.2,17,7282947,7284071
LINC02381,12,54126098,54142493
KRT40,17,40977716,40987135
AC023794.2,12,54082118,54102693
SPPL2B,19,2328615,2354806
AC079684.1,12,42361267,42361703
AP003121.1,11,127188885,127223449
CLLU1OS,12,92420094,92428148
AC008609.1,5,160195744,160204826
AC011473.3,19,51030076,51034335
LINC02154,23,13266048,13303452
ITGA6-AS1,2,172464262,172466022
N4BP2L2,13,32432417,32538885
LINC02308,14,81441987,81450157
MYOM2,8,2045040,2165552
AC026124.1,12,65281657,65286728
IPO9-AS1,1,201688259,201829559
IPO9,1,201829141,201884294
AL645504.1,1,201723294,201737506
C14orf39,14,60396469,60515543
KLK11,19,51022216,51028039
ZNF426-DT,19,9538733,9539734
ANKRD37,4,185396021,185400628
NOP56P2,9,23681894,23682662
Z82198.2,22,33164063,33166439
SPATA31E2P,15,20593494,20599195
C17orf100,17,6651718,6693202
LCMT1-AS1,16,25085592,25111555
AL390729.1,1,112850028,112877871
AL158211.1,10,22257786,22258548
AP000646.1,11,121024125,121113108
AC087190.1,16,9105834,9107174
ADIPOR1P1,10,22162992,22165794
PPIAP91,23,150818753,150819246
ZFX-AS1,23,24146225,24149654
AC020907.3,19,34998233,35000170
AC020907.4,19,35014961,35025335
AL133410.1,9,35772163,35790432
AC103809.1,17,74307210,74309790
AC020658.5,15,40285468,40285909
GOLGA7B,10,97850239,97871580
AL137076.1,1,30140263,30141607
DUX4L7,4,190071232,190072506
AC084851.2,11,49092404,49092767
FTCD,21,46136262,46155567
POGLUT1,3,119468938,119494708
RTL10,22,19846138,19854896
STRN4,19,46719507,46746994
PTMAP8,3,117026698,117027039
BZW1P2,3,116645902,116646727
KCNQ4,1,40783814,40840452
ATPAF1,1,46632737,46673867
SLC14A2-AS1,18,45423764,45483218
AC022240.1,11,13921450,13924863
LINC02548,11,13784029,13848002
AC005197.1,19,18881680,18883376
AC099677.4,1,52881216,52881730
RPF2P1,20,35752814,35753719
KLHL15,23,23983720,24027186
AL353726.2,9,88177695,88178578
AL451142.1,9,88180673,88181447
SEPT14P12,1,197138748,197139307
SAP18P2,2,181694442,181694900
AL355315.1,10,97584374,97673910
LINC02426,12,81953719,81993133
AC091515.1,12,81868368,81869046
AC104581.1,17,7954868,7955622
AC006449.3,17,38715328,38720272
HMX3,10,123135962,123137741
DNAJC17,15,40765155,40807478
SETBP1,18,44680173,45068510
AC092066.1,19,44765148,44765464
AL353651.3,1,79325008,79346445
SDHDP2,7,135444461,135444925
DDX11-AS1,12,31020763,31073847
AC239859.1,1,143541768,143572834
TOMM20P3,18,8688022,8688410
AC092597.1,4,47706372,47706987
EPM2AIP1,3,36985043,36993168
LINC01691,1,121573946,121580524
SIN3A,15,75369379,75455842
DBH-AS1,9,133654586,133657313
SPATA16,3,172889358,173141268
AC026583.1,15,70195638,70198509
AGAP10P,10,45678692,45700532
CHIAP1,1,111250254,111256715
OR7E86P,4,9459255,9460244
AC073508.2,17,40627356,40665141
C6orf15,6,31111223,31112559
ZFYVE28,4,2269582,2418663
AL158068.1,4,2324467,2325082
OR4N5,14,20138820,20145471
OR4Q2,14,19999913,20004760
AC113404.3,5,76173629,76174183
AC003986.3,7,19119933,19121916
SLC25A5P9,5,75752570,75753479
AC104596.2,4,143045086,143045878
SH3BP5,3,15254853,15341368
PLEKHB1,11,73646178,73662819
IGHV1OR15-2,15,19972782,19973218
CTXN1,19,7924485,7926166
RPL13AP2,14,47200575,47201104
TRIML2,4,188091273,188109603
AC010336.5,19,7926001,7926810
WWC1,5,168291651,168472303
EAF2,3,121835183,121886526
KRCC1,2,88027205,88055729
AC083904.1,3,181146233,181146463
FKBP10,17,41812680,41823217
AC012519.1,3,62779176,62779785
KBTBD8,3,66998307,67011210
AC074194.1,4,183987678,183988750
NFKBID,19,35887653,35902303
STOX2,4,183797692,184023526
ERI2,16,20780193,20900349
AC141273.2,16,20618205,20620758
AC108477.1,4,183762115,183765721
SPIN3,23,56818298,56995827
SEC23B,20,18507482,18561415
AC092943.1,3,159721524,159722401
FYCO1,3,45917899,45995824
AC133539.1,16,87892938,87893685
AP001024.1,11,107908420,107908764
ACIN1,14,23058564,23095614
CTNNBL1,20,37693955,37872129
FAM72B,1,121167646,121185539
RPL22P6,1,121142051,121142438
AC131210.1,3,143313067,143314429
MARCH8,10,45454585,45594906
AC073358.1,3,143620528,143627690
AL031963.3,6,3068045,3068894
RASSF3,12,64507001,64697567
AC234771.1,23,135123239,135123604
SMIM10L2B,23,135094987,135098634
AC004542.1,22,30977516,30977858
AC004542.2,22,30976515,30978848
PDCL3P6,1,52179848,52180553
SIRPB2,20,1470741,1491587
AL157395.1,10,6197612,6202693
LINC02492,4,187532878,187672641
AL357084.1,6,140922457,140922910
PHC3,3,170086732,170181749
TENT5A,6,81491439,81752774
ADAM30,1,119893533,119896495
TDRD9,14,103928462,104052667
NBPF7,1,119834870,119844514
DUX4L19,24,11332329,11333595
AC121334.1,12,39466442,39467345
AC091614.1,1,90860550,90862920
AC093763.1,4,187516153,187517208
AC105402.2,2,148870024,148870381
SEC14L3,22,30447959,30472049
LINC02515,4,187413564,187415697
LINC01355,1,23281308,23286752
MTMR9LP,1,32231658,32241620
AC112178.1,5,136466677,136520298
AC018512.1,15,43772617,43799133
AC084116.3,8,126518698,126522351
ZBTB11,3,101648889,101677495
AC008758.5,19,12391949,12441082
SMCO3,12,14804650,14814182
ZNF791,19,12610918,12633840
AC007655.1,12,14841092,14844708
SNX12,23,71056332,71073426
FBLN7,2,112138385,112188216
ZBTB11-AS1,3,101676475,101679217
AC007349.4,7,36734004,36734535
AC007349.1,7,36750687,36763081
ANKRD52,12,56237807,56258391
OR6D1P,10,45255640,45263252
POU2F3,11,120236640,120319944
AC008758.6,19,12433103,12484816
MTCO2P27,19,12504905,12505976
C3orf67-AS1,3,58824437,59019093
AC005832.4,12,4604944,4662643
ZNF564,19,12525370,12551542
AC005832.1,12,4645496,4648027
AC006063.1,12,4838955,4842675
AC108032.1,2,199872172,199872378
AC233724.12,5,17669283,17669518
AL021937.4,22,32383786,32385631
AC233724.10,5,17670168,17670571
AL021937.1,22,32376664,32384343
RFPL3S,22,32359906,32382052
AC010422.6,19,12525720,12580975
ZNF267,16,31873758,31917357
PPIAP20,19,12508129,12508263
MTATP6P27,19,12506249,12508030
DUX4L16,24,11306918,11308181
DUX4L17,24,11314921,11316187
ZNF443,19,12429707,12441112
BTN2A2,6,26383096,26394874
IGLVIVOR22-2,22,32376682,32377135
IGLCOR22-2,22,32356676,32356988
XPO7,8,21919671,22006585
RFPL3,22,32354885,32361161
SPACA9,9,132878027,132890201
MTND2P40,19,12502675,12504106
PDCD4,10,110871795,110900006
AC008758.1,19,12461559,12551474
ZNF709,19,12461184,12513854
RPL5P13,4,142286917,142287625
LSM3P4,4,142317238,142317546
AC139720.1,4,142566019,142660950
DLL1,6,170282206,170306565
COG3,13,45464898,45536630
AL592161.1,1,66826942,66828558
AC139720.2,4,142514446,142518983
AC021755.1,15,40133768,40135214
WDR78,1,66812885,66924887
LINC01929,18,55105904,55124306
OR13A1,10,45302298,45315608
AC034105.3,16,31894542,31894983
AL445645.1,9,132768965,132770212
AC135178.5,17,8277763,8278436
AP004833.1,11,89820082,89826922
AC008758.4,19,12379189,12401274
IQCB1,3,121769763,121835079
AK8,9,132725578,132878777
LINC02223,5,17684584,17955857
AP3M1,10,74120255,74151063
CAMKV,3,49857988,49870222
CENPJ,13,24882284,24922889
AC021269.1,11,13478333,13479037
TEKT3,17,15303811,15341641
AC021269.2,11,13488612,13489390
AC073648.1,4,8949630,8950559
AL135785.1,9,38360427,38376430
UNC93B8,4,8959628,8963981
SLC25A15P4,21,10612455,10613379
AP001150.1,11,120249759,120265932
AC078809.1,3,189645327,189645466
SERF1AP1,4,137301001,137301187
AL133163.2,14,35362232,35363628
STMN1P2,4,137425426,137425864
AL133163.1,14,35388121,35389069
RPS23P2,4,137448087,137448501
AC007638.2,17,55271504,55273653
AC004754.1,16,249547,269943
PRR13P3,11,117336256,117336631
AL596247.1,10,74005137,74027915
AC091114.1,8,125466939,125541373
AC074031.1,12,80583683,80593701
GAU1,12,4700417,4720102
CEP164,11,117314557,117413268
MIR3910-1,9,91636251,91636361
SNORD115-6,15,25180497,25180578
RNU7-35P,7,43194421,43194482
RN7SKP124,3,139584105,139584445
RN7SL754P,10,430239,430504
MIR5681A,8,74548543,74548617
RNU6-925P,8,89900721,89900824
RNU6-163P,10,4514952,4515057
RNA5SP70,1,181771566,181771644
RNA5SP136,3,72691705,72691811
RNU1-143P,1,143791542,143791687
RN7SL763P,9,39886861,39887144
RNA5SP208,6,67467231,67467308
MIR548AQ,3,185767847,185767904
MIRLET7D,9,94178834,94178920
MIR4662A,8,124821985,124822051
MIR1255B1,4,36426366,36426428
MIR1204,8,127795962,127796028
RNA5SP512,23,111669829,111669948
RNU6-1073P,9,1001858,1001963
RNU6-293P,6,158926466,158926571
RN7SL151P,9,21699314,21699596
MIR4653,7,101159473,101159555
RNA5S7,1,228623667,228623785
MIR378B,3,10330229,10330285
RNU2-42P,10,125890566,125890678
RNU6-1,15,67839939,67840045
MIR1273H,16,24203116,24203231
RNU1-38P,2,85728194,85728337
MIR658,22,37844272,37844371
SNORD1C,17,76558791,76558868
RF00401,23,5410122,5410251
RF02130,20,58850530,58850641
SNORD116-17,15,25083588,25083679
MIR4715,15,25848747,25848825
SNORD67,11,46762389,46762499
MIR567,3,112112801,112112898
MIR6086,23,13590292,13590346
RN7SKP10,13,109915096,109915420
RNU4-89P,3,196747192,196747324
MIR181D,19,13874875,13875011
SNORA10B,2,30187434,30187566
RNU6-463P,10,105534659,105534765
MIR562,2,232172653,232172747
RNU6-424P,1,27693731,27693835
RF01225,23,88148792,88148918
MIR1245A,2,188978092,188978161
MIR128-1,2,135665397,135665478
MIR1197,14,101025564,101025651
RNU6-324P,18,12098427,12098532
MIR7977,3,176515103,176515151
MIR6799,19,49791866,49791934
RNA5SP283,9,62802320,62802438
MIR517C,19,53741313,53741407
RNU6-1313P,17,49966075,49966176
RN7SL278P,15,76976915,76977210
MIR3179-3,16,18411894,18411977
RNU6-556P,5,156814130,156814234
MIR3670-4,16,18488301,18488365
SNORD115-40,15,25243614,25243695
MIR520C,19,53707453,53707539
MIR4499,13,20433778,20433846
MIR548F1,10,54607874,54607957
RN7SKP99,14,57837354,57837660
MIR5007,13,55174454,55174548
MIR3191,19,47226944,47227019
MIR7641-1,11,104252591,104252651
